n   r  total_calls  O(calls)  time(microseconds)
3 2 8 4 21
5 3 22 11 20
7 4 22 11 21
14 5 76 38 29
17 5 127 69 36
27 7 152 76 47
34 8 258 129 62
32 9 418 248 70
44 10 855 511 91
58 11 572 286 96
72 12 818 409 120
89 13 1803 1096 176
99 14 1908 1138 183
119 15 2506 1492 227
139 16 3408 2117 281
147 17 2422 1211 287
143 18 2470 1235 264
172 19 4497 2657 389
170 20 4526 2604 400
223 21 6364 3797 506
234 22 5118 2559 483
283 23 9001 5417 634
302 24 10204 6253 712
307 25 10547 6213 732
346 26 12575 7689 846
343 27 16785 11309 961
362 28 9746 4873 852
411 29 16361 10117 1087
458 30 19678 12166 1364
463 31 19771 12011 1319
526 32 22553 13578 1501
533 33 23893 14780 1564
590 34 29473 18369 1854
619 35 30476 18880 1949
656 36 31677 18798 2068
676 37 34749 21752 2283
678 38 33453 20223 2235
751 39 28590 14295 2327
795 40 31960 15980 2887
838 41 62002 42901 3350
877 42 36934 18467 2992
931 43 40144 20072 3223
964 44 42170 21085 3451
1005 45 45474 22842 3833
1054 46 49068 24534 4044
1112 47 69083 41594 4556
1120 48 71498 43250 4829
1203 49 59150 29575 4973
1233 50 86809 54663 5623
1306 51 66328 33164 5861
1354 52 70555 35328 6144
1400 53 138694 97648 7875
1453 54 79102 39551 6756
1500 55 112366 69462 7780
1583 56 87428 43714 7746
1663 57 128569 79786 9029
1665 58 181531 128028 10261
1735 59 137754 84392 10046
1813 60 109674 54837 9969
1847 61 113119 56619 10115
1961 62 167644 104132 12383
1974 63 172799 108904 12559
1974 64 125906 62953 11744
2051 65 178410 109636 13460
2210 66 202601 128429 15362
2224 67 265463 185932 18185
2353 68 160156 80078 17081
2370 69 228491 144143 26954
2410 70 307075 218387 37376
2535 71 327776 230671 41592
2588 72 249673 153543 32537
2652 73 263006 161070 38574
2646 74 266802 166926 32502
2819 75 212080 106040 29912
2870 76 391836 276701 36747
2965 77 317407 199113 41571
3076 78 332218 208364 42523
3077 79 326169 200938 37396
3156 80 250290 125145 32796
3334 81 270352 135176 32377
3375 82 385202 242525 33887
3485 83 521953 368158 36582
3537 84 397206 242553 32539
3650 85 312610 156305 30854
3727 86 435525 269990 33386
3750 87 328938 165799 31304
3888 88 470407 291999 34453
3968 89 655929 468652 39486
4020 90 364528 182396 33488
4152 91 377482 188741 33625
4252 92 548120 348233 37962
4316 93 546834 339724 38664
4345 94 559567 349372 40093
4469 95 975442 744524 51294
4628 96 439052 219526 40564
4660 97 627424 396298 45426
4845 98 652418 410232 46221
4845 99 659622 411907 46784
4940 100 678089 425283 50872
5145 101 733099 467400 53866
5161 102 959035 681292 58260
5349 103 1016161 730343 60491
5433 104 757888 471021 53983
5523 105 798655 502097 55976
5591 106 822104 514271 58521
5671 107 839172 530646 61322
5825 108 825518 504259 60872
5928 109 864768 534449 60971
6189 110 680148 340074 59475
6222 111 956251 603488 65797
6236 112 701626 350813 60911
6407 113 976848 601396 68560
6461 114 736589 369235 64190
6527 115 1030374 649667 70163
6784 116 1104215 701532 73673
6901 117 807036 403518 69101
6935 118 1117077 698217 77027
7042 119 1122619 697160 79974
7258 120 1180484 729863 90596
7278 121 1227311 775164 95863
7453 122 1214038 750502 93512
7639 123 1296552 817860 90948
7791 124 1337912 837345 99414
7783 125 1297289 796098 137923
8050 126 1016262 508131 116803
8022 127 1015585 507980 102750
8137 128 1950388 1407679 123459
8373 129 1475435 923639 111794
8323 130 1085036 542518 108941
8618 131 1125258 562629 104699
8716 132 1551059 967311 108040
8901 133 1634853 1033100 109861
9015 134 1627057 1012775 113392
9079 135 1226130 613065 108897
9278 136 1268406 634203 132600
9311 137 2317938 1661061 155390
9482 138 1781620 1111722 135761
9677 139 1888881 1209738 129339
9920 140 1896699 1186819 129831
9870 141 1895616 1194790 134842
10101 142 1437518 718759 126668
10238 143 2029299 1284998 138448
10405 144 1496574 748287 128394
10526 145 2088975 1310591 141785
10623 146 1543894 772784 133292
10791 147 2875975 2055224 171987
10911 148 1609856 804928 140440
11027 149 2217821 1384212 149093
11285 150 1700684 850342 144422
11360 151 1717470 858735 146259
11547 152 1752440 876220 147529
11680 153 2442119 1539109 182899
11810 154 2393307 1466659 184727
12011 155 1868906 934453 180655
12077 156 3476786 2509565 222408
12335 157 2674416 1698153 194977
12299 158 2697004 1710523 211142
12593 159 1990594 995297 188320
12818 160 2825742 1783546 198013
13009 161 2874450 1794201 226498
13140 162 2131216 1065608 204249
13316 163 3038865 1937271 216839
13527 164 3028169 1900152 210080
13778 165 3113708 1963174 233407
13730 166 3091731 1932856 228318
14070 167 2360966 1180483 205759
14124 168 3296029 2090956 253473
14214 169 3271440 2055305 322937
14456 170 3359164 2119059 250957
14644 171 3441516 2176475 246658
14759 172 3458462 2166770 273829
15057 173 3577536 2258558 242728
14999 174 3619292 2297636 235451
15282 175 4958116 3594294 270654
15619 176 3765130 2372719 270567
15783 177 3814059 2400020 281103
15863 178 3878238 2454797 274750
15963 179 3895427 2451823 288157
16201 180 2913438 1457676 280641
16390 181 2968513 1485835 329080
16573 182 4198785 2669178 348701
16728 183 4215573 2660289 305957
16975 184 4272378 2689326 332322
17270 185 5973170 4328288 475428
17236 186 4480266 2848075 404783
17643 187 3296931 1648743 393460
17614 188 4504026 2832625 390146
17796 189 4670983 2967259 344582
18070 190 6317297 4552097 364265
18251 191 3484956 1742478 334873
18430 192 3541364 1771705 372250
18659 193 4917109 3104263 359494
18903 194 3677024 1838512 323225
18946 195 5022244 3143934 469819
19121 196 5187813 3294036 404751
19405 197 5356263 3416994 551258
19708 198 5370506 3396861 513243
19859 199 5450973 3447821 516173
19771 200 5401806 3400581 616478
20078 201 5413331 3363457 467207
20501 202 4136080 2068040 415927
20591 203 5717747 3612062 521481
20803 204 5747193 3593711 403566
21013 205 5716623 3537795 404712
21311 206 8100887 5858873 465520
21356 207 5941167 3696173 499375
21757 208 4524368 2262184 438133
21847 209 6337585 4025554 591418
21903 210 6311977 3989779 584775
22347 211 4729472 2364736 509586
22367 212 6498656 4101533 513505
22632 213 6672539 4240437 510007
22912 214 6764040 4277881 564232
23063 215 6706567 4198744 576099
23418 216 6912854 4356980 480528
23602 217 5110022 2555011 532902
23895 218 5198248 2599124 586809
24208 219 7338194 4670584 725718
